	"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
188.АС.8.1932	Окраска	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007 	0	0	0	м2	0,38
188.АС.8.1933	Окраска	Очистка поверхности щетками	13	0	13	м2	0,17
188.АС.8.1934	Окраска	Обеспыливание поверхности (входит в норму окраски)	70	0	70	м2	0
188.АС.8.1935	Окраска	Обезжиривание металлических поверхностей растворителем Р5 	13	0	13	м2	0,065
188.АС.8.1936	Окраска	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм 	13	0	13	м2	0,12
188.АС.8.1937	Окраска	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм 	70	0	70	м2	0,18
188.АС.9.1938	Отделка помещений	Устройство подвесных потолков типа "Армстронг" по каркасу из оцинкованного профиля 	76,9	0	76,9	м2	0,42
188.АС.9.1940	Отделка помещений	Штукатурка поверхностей внутри здания цементно-песчаным раствором М50 по камню простая стен 	104	0	104	м2	0,65
188.АС.9.1941	Отделка помещений	Силикатная окраска водными составами внутри помещений по штукатурке и кирпичу 	327,1	0	327,1	м2	0,129
188.АС.9.1942	Отделка помещений	Силикатная окраска водными составами внутри помещений по гипсокартону 	593,8	0	593,8	м2	0,129
188.АС.10.1944	Покрытие	Устройство асфальтобетонных покрытий дорожек и тротуаров однослойных из литой мелкозернистой асфальто-бетонной смеси толщиной 3 см 	95,8	0	95,8	м2	0,144
188.АС.11.1946	Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм)	0	0	0	м2	0,26
188.АС.11.1947	Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 115 мм) 	0	0	0	м2	0,00209
188.АС.11.1948	Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм)	0	0	0	м2	0,26
188.АС.11.1949	Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 100 мм) 	0	0	0	м2	0,00176
188.АС.11.1950	Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм)	0	0	0	м2	0,26
188.АС.11.1951	Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 120 мм) 	0	0	0	м2	0,0022
188.АС.11.1952	Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм )	34,7	0	34,7	м2	0,26
188.АС.11.1953	Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 100 мм) 	0	0	0	м2	0,00176
188.АС.11.1954	Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм)	34,7	0	34,7	м2	0,26
188.АС.11.1955	Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 30 мм) 	0	0	0	м2	0,00022
188.АС.11.1956	Полы	Устройство покрытий на цементном растворе из плиток керамических для полов одноцветных с красителем 	79,4	0	79,4	м2	0,94
188.АС.11.1957	Полы	Устройство покрытий мозаичных терраццо толщиной 20 мм без рисунка 	57,8	0	57,8	м2	1,18
188.АС.11.1958	Полы	Устройство покрытий из линолеума насухо со свариванием полотнищ в стыках 	34,7	0	34,7	м2	0,356
188.АС.11.1960	Полы	Устройство выравнивающего слоя из уретановой массы "Уредур 500" 	217,2	0	217,2	м2	0,072
188.АС.11.1961	Полы	Устройство армирующей сетки из стеклоткани 	217,2	0	217,2	м2	1,46
188.АС.11.1962	Полы	Устройство наливного пола из полимерного покрытия "Уредур 4000" 	217,2	0	217,2	м2	0,18
188.АС.11.1969	Полы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119 	5	0	5	м2	0,11
188.АС.11.1970	Полы	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 за 2 раза 	5	0	5	м2	0,206
188.АС.11.1971	Полы	Устройство покрытий бетонных толщиной 30 мм 	74,2	0	74,2	м2	0,26
188.АС.11.1974	Полы	Устройство фальшполов 	33,3	0	33,3	м2	0,62
188.АС.11.1983	Полы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119 	30	0	30	м2	0,11
188.АС.11.1984	Полы	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 за 2 раза 	30	0	30	м2	0,206
188.ВК.6.2031	Теплоизоляционные работы	Покрытие поверхности изоляции трубопроводов стеклопластиками РСТ, тканями стеклянными 	12,32	0	12,32	м2	0,396
188.ГТ.3.2045	Окраска. ГТ	Огрунтовка металлических поверхностей за один раз грунтовкой ЭП-0259	2,5	0	2,5	м2	0,12
188.ГТ.3.2046	Окраска. ГТ	Окраска металлических огрунтованных поверхностей эмалью ПФ-115	5	0	5	м2	0,103
188.ГТ.3.2047	Окраска. ГТ	Очистка поверхности щетками	2,5	0	2,5	м2	0,17
188.ГТ.3.2048	Окраска. ГТ	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом	2,5	0	2,5	м2	0,065
188.КМ.1.2050	Каркас здания	Штукатурка колонн цементно-песчаным раствором толщ.60мм по сетке 	22	0	22	м2	1,48
188.ОВ.1.2051	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 1,2 мм, периметром 4000 мм 	4,8	0	4,8	м2	0,312
188.ОВ.1.2052	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,9 мм, периметром 4000 мм 	2	0	2	м2	0,284
188.ОВ.1.2053	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм 	2,5	0	2,5	м2	0,245
188.ОВ.1.2054	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 250 мм 	8	0	8	м2	0,245
188.ОВ.1.2055	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм 	8	0	8	м2	0,214
188.ОВ.1.2056	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 450 мм 	4	0	4	м2	0,245
188.ОВ.1.2057	Воздуховод	Прокладка воздуховодов из оцинкованной стали класса Н (нормальные) толщиной 0,7 мм, периметром от 1100 до 1600 мм 	1,2	0	1,2	м2	0,214
188.ОВ.1.2058	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм 	7	0	7	м2	0,0845
188.ОВ.1.2059	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм 	5,7	0	5,7	м2	0,245
188.ОВ.1.2060	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 250 мм 	3,5	0	3,5	м2	0,245
188.ОВ.1.2061	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 1,0 мм, диаметром от 900 до 1000 мм 	10	0	10	м2	10,6
188.ОВ.1.2062	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм 	1,6	0	1,6	м2	0,214
188.ОВ.1.2063	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,9 мм, периметром 4000 мм 	38,5	0	38,5	м2	0,284
188.ОВ.1.2064	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм 	44	0	44	м2	0,264
188.ОВ.1.2065	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали толщиной 1,2 мм, диаметром до 355 мм 	1,2	0	1,2	м2	4,5
188.ОВ.1.2066	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали толщиной 1,2 мм, диаметром до 200 мм 	1	0	1	м2	6,12
188.ОВ.1.2067	Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм 	22	0	22	м2	6,12
188.ОВ.8.2151	Огнезащита и тепловая изоляция	Огнезащитное покрытие металлоконструкций воздуховодов приточно-вытяжных систем составом "Файрекс-300" с пределом огнестойкости 1,0 час 	1	0	1	м2	0,286
188.ОВ.8.2152	Огнезащита и тепловая изоляция	Огнезащитная пропитка ковровых изделий, тканей, занавесей составом "КЛОД-02" 	2	0	2	м2	0,0645
188.ОВ.8.2153	Огнезащита и тепловая изоляция	Покрытие поверхности изоляции трубопроводов стеклотканями 	1	0	1	м2	0,396
188.ОВ.8.2154	Огнезащита и тепловая изоляция	Окраска металлических огрунтованных поверхностей краской МА-15 	31,11	0	31,11	м2	0,103
188.ОВ.8.2155	Огнезащита и тепловая изоляция	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	15	0	15	м2	0,11
188.ОВ.8.2157	Окраска ОВ	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза 4,63+17,39+12,77+5,54+6,66+12,55+10,73+10,62+18,99+7,12+3,28+2,26-гр.4 	112,54	0	112,54	м2	0,11
188.ОВ.8.2158	Окраска ОВ	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	7,9	0	7,9	м2	0,11
188.ОВ.8.2159	Окраска ОВ	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	6,19	0	6,19	м2	0,11
188.ОВ.8.2160	Окраска ОВ	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 0,87+17,67+1,02+0,84+10,56+0,6+0,21+1,58+1,55+0,13+2,15-гр.4 	37,18	0	37,18	м2	0,11
188.ОВ.8.2161	Окраска ОВ	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза 	37,18	0	37,18	м2	0,206
188.ОВ.9.2162	Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	4,6	0	4,6	м2	0,11
188.ОВ.9.2163	Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	1,85	0	1,85	м2	0,11
188.ОВ.9.2164	Окраска	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой 	1,85	0	1,85	м2	0,021
188.ОВ.9.2165	Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	26	0	26	м2	0,11
188.ОВ.10.2166	Теплоизоляция	Изоляция плоских и криволинейных поверхностей пластинами (плитами) из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") 	4	0	4	м2	0,21
188.ОВ.11.2171	Теплоизоляция. ОВ. ПОЗ.188	Изоляция плоских и криволинейных поверхностей пластинами (плитами) из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") 	15	0	15	м2	0,21
188.КМ1.1.2179	АКЗ. КМ1	Огрунтовка металлических поверхностей за один раз грунтовкой Эмлак праймер цинк NG толщиной 80 мкм 	30	0	30	м2	0,24
188.КМ1.1.2180	АКЗ. КМ1	Окраска металлических поверхностей в 1 слой эмалью Эмакоут 5335NG толщиной 150 мкм 	30	0	30	м2	0,223
188.КМ1.1.2181	АКЗ. КМ1	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG толщиной 50 мкм 	30	0	30	м2	1,37
188.КМ1.2.2182	Каркас здания. КМ1	Монтаж кровельного покрытия из профилированного листа при высоте здания до 25 м 	2,3	0	2,3	м2	0,24
188.ОФ.4.2201	Изоляционные работы	Огрунтовка фундаментов праймером 	70	0	70	м2	0,034
188.ОФ.4.2202	Изоляционные работы	Гидроизоляция боковая обмазочная битумная в 2 слоя 	70	0	70	м2	0,39
188.Т.2.2337	Окраска. Т	Очистка поверхности щетками	75,07	0	75,07	м2	0,17
188.Т.2.2338	Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	75,07	0	75,07	м2	0
188.Т.2.2339	Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом 	75,07	0	75,07	м2	0,065
188.Т.2.2340	Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан по ТУ2312-017-12288779-99 за один раз (толщина слоя 80 мкм) 	142,4	0	142,4	м2	0,12
188.Т.2.2341	Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз 	142,4	0	142,4	м2	0,11
188.Т.2.2342	Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз 	142,4	0	142,4	м2	0,103
188.Т.3.2344	Теплоизоляционные работы. Т	Изготовление и установка по поверхности изоляции аппаратов деталей готового металлического покрытия из алюминевого листа марки АД1Н толщ.0,5мм 	21,85	0	21,85	м2	1,24
188.Т.3.2346	Теплоизоляционные работы. Т	Огрунтовка металлических поверхностей за один раз лаком БТ-577 	5,31	0	5,31	м2	0,0845
188.Т.3.2347	Теплоизоляционные работы. Т	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ 	10,02	0	10,02	м2	0,548
188.Т.3.2348	Теплоизоляционные работы. Т	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных 	6,85	0	6,85	м2	0,396
188.Т.3.2352	Теплоизоляционные работы. Т	Покрытие поверхности изоляции трубопроводов: сталью оцинкованной 	221,24	0	221,24	м2	0,843
188.Т.3.2353	Теплоизоляционные работы. Т	Изоляция арматуры и фланцев съемными полуфутлярами из оцинкованного листа толщ.0,8мм 	98,94	0	98,94	м2	1,24
188.Т.3.2355	Теплоизоляционные работы. Т	Огрунтовка металлических поверхностей за один раз лаком БТ-577 	7,7	0	7,7	м2	0,0845
189.Т1.1.2430	Окрасочные Работы	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан 	5,1	0	5,1	м2	0,12
189.Т1.1.2431	Окрасочные Работы	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз	5,1	0	5,1	м2	0,11
189.Т1.1.2432	Окрасочные Работы	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	5,1	0	5,1	м2	0,103
189.Т1.1.2433	Окрасочные Работы	Очистка поверхности щетками	0,94	0	0,94	м2	0,17
189.Т1.1.2434	Окрасочные Работы	Обеспыливание поверхности (входит в норму окраски)	0,94	0	0,94	м2	0
189.Т1.1.2435	Окрасочные Работы	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом	0,94	0	0,94	м2	0,065
189.Т1.1.2436	Окрасочные Работы	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан 	0,94	0	0,94	м2	0,12
189.Т1.1.2437	Окрасочные Работы	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз	0,94	0	0,94	м2	0,11
189.Т1.1.2438	Окрасочные Работы	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	0,94	0	0,94	м2	0,103
189.Т1.1.2439	Окрасочные Работы	Очистка поверхности щетками	10,53	0	10,53	м2	0,17
189.Т1.1.2440	Окрасочные Работы	Обеспыливание поверхности (входит в норму окраски)	10,53	0	10,53	м2	0
189.Т1.1.2441	Окрасочные Работы	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом	10,53	0	10,53	м2	0,065
189.Т1.1.2442	Окрасочные Работы	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан 	10,53	0	10,53	м2	0,12
189.Т1.1.2443	Окрасочные Работы	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз	10,53	0	10,53	м2	0,11
189.Т1.1.2444	Окрасочные Работы	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	10,53	0	10,53	м2	0,103
189.Т1.2.2445	Изоляция мастикой "БИУРС"	Изоляция поверхности подземных емкостей битумно-уретановым покрытием "БИУРС" в траншеях и котлованах ТЕР-2001 64	70	0	70	м2	1,42
189.Т1.3.2450	Тепло изоляция трубопроводы	Изготовление и установка по поверхности изоляции трубопровода покрытия из оцинкованного листа толщ.0,5	2,28	0	2,28	м2	0,843
189.Т1.3.2451	Тепло изоляция трубопроводы	Окраска опознавательных колец за два раза 	0,11	0	0,11	м2	0,103
190.Т.1.2452	Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	14	0	14	м2	0,12
190.Т.1.2453	Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	14	0	14	м2	0,11
190.Т.1.2454	Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	14	0	14	м2	0,103
190.Т.1.2455	Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	10,8	0	10,8	м2	0,12
190.Т.1.2456	Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	10,8	0	10,8	м2	0,11
190.Т.1.2457	Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	10,8	0	10,8	м2	0,103
190.Т.1.2458	Окраска. Т	Очистка поверхности щетками	23,63	0	23,63	м2	0,17
190.Т.1.2459	Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	23,63	0	23,63	м2	0
190.Т.1.2460	Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом ТЕР-2001 64	23,63	0	23,63	м2	0,065
190.Т.1.2461	Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	23,63	0	23,63	м2	0,12
190.Т.1.2462	Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	23,63	0	23,63	м2	0,11
190.Т.1.2463	Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	23,63	0	23,63	м2	0,103
190.Т.1.2464	Окраска. Т	Очистка поверхности щетками	34,75	0	34,75	м2	0,17
190.Т.1.2465	Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	34,75	0	34,75	м2	0
190.Т.1.2466	Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом ТЕР-2001 64	34,75	0	34,75	м2	0,065
190.Т.1.2467	Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	34,75	0	34,75	м2	0,12
190.Т.1.2468	Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	34,75	0	34,75	м2	0,11
190.Т.1.2469	Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	34,75	0	34,75	м2	0,103
190.Т.1.2470	Окраска. Т	Очистка поверхности щетками	3,89	0	3,89	м2	0,17
190.Т.1.2471	Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	3,89	0	3,89	м2	0
190.Т.1.2472	Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом ТЕР-2001 64	3,89	0	3,89	м2	0,065
190.Т.1.2473	Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	3,89	0	3,89	м2	0,12
190.Т.1.2474	Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	3,89	0	3,89	м2	0,11
190.Т.1.2475	Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	3,89	0	3,89	м2	0,103
190.Т.1.2476	Окраска. Т	Очистка поверхности щетками	29,41	0	29,41	м2	0,17
190.Т.1.2477	Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	29,41	0	29,41	м2	0
190.Т.1.2478	Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом ТЕР-2001 64	29,41	0	29,41	м2	0,065
190.Т.1.2479	Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	29,41	0	29,41	м2	0,12
190.Т.1.2480	Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	29,41	0	29,41	м2	0,11
190.Т.1.2481	Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	29,41	0	29,41	м2	0,103
190.Т.2.2485	Тепло из трубопроводы	Покрытие поверхности изоляции трубопроводов сталью оцинкованной толщ.0,5мм 	169,09	0	169,09	м2	0,843
190.Т.2.2486	Тепло из трубопроводы	Изоляция арматуры и фланцев съемными полуфутлярами из оцинкованного листа толщ.0,8мм ТЕР-2001 64	53,14	0	53,14	м2	1,24
190.Т.2.2488	Тепло из трубопроводы	Окраска металлических поверхностей за один раз лаком БТ-577 	0,95	0	0,95	м2	0,0845
190.Т.2.2489	Тепло из трубопроводы	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для производства теплоизоляционных работ ТЕР-2001 64	48,98	0	48,98	м2	0,548
190.Т.2.2490	Тепло из трубопроводы	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных ТЕР-2001 64	33,49	0	33,49	м2	0,396
191.ОВ.1.2541	Арматура и трубопроводы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 23,28+1,79+0,48+1,2+2,98+12,8+0,42+6,94+2,01+0,95+0,42-гр.4 ТЕР-2001 64	53,27	0	53,27	м2	0,11
191.ОВ.1.2542	Арматура и трубопроводы	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза ТЕР-2001 64	53,27	0	53,27	м2	0,206
191.ОВ.2.2564	Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	2	0	2	м2	0,62
191.ОВ.2.2567	Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	4	0	4	м2	0,62
191.ОВ.2.2570	Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	2	0	2	м2	0,62
191.ОВ.2.2573	Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	2	0	2	м2	0,62
191.ОВ.2.2576	Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	2	0	2	м2	0,62
191.ОВ.3.2578	Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,7 мм, периметром 4000 мм ТЕР-2001 64	4,8	0	4,8	м2	0,312
191.ОВ.3.2579	Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,7 мм, периметром до 3200 мм ТЕР-2001 64	6,4	0	6,4	м2	0,284
191.ОВ.3.2580	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, периметром 900 мм ТЕР-2001 64	0,5	0	0,5	м2	0,164
191.ОВ.3.2581	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром от 500 до 560 мм (на высоте 4м) ТЕР-2001 64	9	0	9	м2	0,138
191.ОВ.3.2582	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 450 мм (на высоте 4м) ТЕР-2001 64	10	0	10	м2	0,214
191.ОВ.3.2583	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром от 500 до 560 мм (на высоте 4м) ТЕР-2001 64	9	0	9	м2	0,138
191.ОВ.3.2584	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм (на высоте 4м) ТЕР-2001 64	10	0	10	м2	0,138
191.ОВ.3.2585	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм (на высоте 4м) ТЕР-2001 64	7	0	7	м2	0,214
191.ОВ.3.2586	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм (на высоте 4м) ТЕР-2001 64	13	0	13	м2	0,214
191.ОВ.3.2587	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 250 мм (на высоте 4м) ТЕР-2001 64	3,5	0	3,5	м2	0,245
191.ОВ.3.2588	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм (на высоте 4м) ТЕР-2001 64	3	0	3	м2	0,245
191.ОВ.3.2589	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм (на высоте 5м) ТЕР-2001 64	9	0	9	м2	0,138
191.ОВ.3.2590	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 450 мм (на высоте 5м) ТЕР-2001 64	6	0	6	м2	0,214
191.ОВ.3.2591	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром от 500 до 560 мм (на высоте 5м) ТЕР-2001 64	7	0	7	м2	0,138
191.ОВ.3.2592	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм (на высоте 5м) ТЕР-2001 64	1	0	1	м2	0,245
191.ОВ.3.2593	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром от 500 до 560 мм (на высоте 5м) ТЕР-2001 64	5	0	5	м2	0,138
191.ОВ.3.2594	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм (на высоте 5м) ТЕР-2001 64	10	0	10	м2	0,214
191.ОВ.3.2595	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 450 мм (на высоте 5м) ТЕР-2001 64	2,5	0	2,5	м2	0,214
191.ОВ.3.2596	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм (на высоте 5м) ТЕР-2001 64	3	0	3	м2	0,245
191.ОВ.3.2597	Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, периметром до 2400 мм (на высоте 5м) ТЕР-2001 64	2,5	0	2,5	м2	0,164
