"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Теплоизоляционные работы. водопровод производственно-противопожарный в2	Изоляция трубопроводов изделиями из вспененного каучука (трубками)	0,25	0	0,25	10 м	2,1
Монтажные работы. внутриплощадочные сети. спба	Профиль перфорированный монтажный длиной 2 м	0,05	0	0,05	100 м	18,2
Монтажные работы. внутриплощадочные сети. спба	Рукав металлический наружным диаметром до 48 мм	1	0	1	100 м	16,8
Монтажные работы. внутриплощадочные сети. спба	Кабель до 35 кВ, прокладываемый по непроходным эстакадам, масса 1 м кабеля до 3 кг	59,5	39,1	20,4	100 м	15,76
Монтажные работы. внутриплощадочные сети. спба	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг	33,4	0	33,4	100 м	11,4
Монтажные работы. внутриплощадочные сети. спба	Провод по установленным стальным конструкциям и панелям, сечение до 16 мм2	5,46	0	5,46	100 м	6,45
Монтажные работы. внутриплощадочные сети. спба	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 40 мм	0,4	0	0,4	100 м	102
Монтажные работы. внутриплощадочные сети. спба	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям	0,4	0	0,4	100 м	45,6
Монтажные работы. внутриплощадочные сети. спба	Короб металлический по стенам и потолкам, длина 2 м	32	18	14	100 м	114
Теплоизоляционные работы. тепловые сети т1, т2	Изоляция трубопроводов изделиями из вспененного каучука (трубками) 	25,74	0	25,74	10 м	2,1
Теплоизоляционные работы. тепловые сети т1, т2	Изоляция трубопроводов изделиями из вспененного каучука (трубками) 	48,56	0	48,56	10 м	2,1
Монтажные работы. внутриплощадочные сети. пс	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 40 мм	0,03	0	0,03	100 м	102
Монтажные работы. внутриплощадочные сети. пс	Рукав металлический наружным диаметром до 48 мм	0,2	0	0,2	100 м	16,8
Монтажные работы. внутриплощадочные сети. пс	Профиль перфорированный монтажный длиной 2 м	0,01	0	0,01	100 м	18,2
Монтажные работы. внутриплощадочные сети. пс	Провод двух- и трехжильный с разделительным основанием по стенам и потолкам, прокладываемый по основаниям бетонным и металлическим	3,2	0	3,2	100 м	24,5
Монтажные работы. внутриплощадочные сети. пс	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением на поворотах и в конце трассы, масса 1 м кабеля до 1 кг	42,77	29,88	12,89	100 м	8,64
Монтажные работы. внутриплощадочные сети. пс	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг	0,03	0	0,03	100 м	11,4
Монтажные работы. внутриплощадочные сети. пс	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 2,5 мм2	0,2	0	0,2	100 м	5,12
Монтажные работы. внутриплощадочные сети. пс	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям	0,2	0	0,2	100 м	45,6
Монтажные работы. Кабельные проводки	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг	12,1	0	12,1	100 м	12,4
Монтажные работы. Кабельные проводки	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг	11	0	11	100 м	11,4
Монтажные работы. Кабельные проводки	Короб металлический на конструкциях, кронштейнах, по фермам и колоннам, длина 2 м	0,34	0	0,34	100 м	114
Монтажные работы. Кабельные проводки	Профиль перфорированный монтажный длиной 2 м	0,05	0	0,05	100 м	18,2
Монтажные работы. Кабельные проводки	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 25 мм	3,7	0	3,7	100 м	84,5
Ограждающие конструкции	Герметизация швов обрамлений мастикой УМС 	0,348	0	0,348	100 м	14,2
Ограждающие конструкции	Ограждение кровель перилами 	0,73	0	0,73	100 м	48
Ограждающие конструкции	Устройство герметизации горизонтальных и вертикальных стыков стеновых панелей прокладками на клее в один ряд 	1,134	0	1,134	100 м	18,5
Покрытие	Установка бортовых камней бетонных при других видах покрытий 	0	0	0	100 м	37
Полы	Нарезка швов в бетоне с заполнением швов герметиком "Мастерфлекс-472" при устройстве полимерных наливных полов 	1,086	0	1,086	100 м	14
Полы	Устройство плинтусов цементных 30х60мм 	0,289	0	0,289	100 м	45,6
Полы	Устройство плинтусов из плиток керамических 	0,52	0	0,52	100 м	26
Полы	Устройство плинтусов цементных 30х60мм 	0,36	0	0,36	100 м	45,6
Полы	Устройство плинтусов цементных 30х60мм 	0,36	0	0,36	100 м	45,6
Заземление	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям 	0,3	0	0,3	100 м	45,6
Кабельные конструкции, трубные проводки. ат1	Профиль перфорированный монтажный длиной 2 м 	0,14	0	0,14	100 м	18,2
Кабельные конструкции, трубные проводки. ат1	Рукав металлический наружным диаметром до 48 мм 	3,05	0	3,05	100 м	16,8
Кабельные конструкции, трубные проводки. ат1	Короб металлический по стенам и потолкам, длина 2 м 	0,44	0	0,44	100 м	114
Кабельные проводки. ат1	Кабель до 35 кВ с креплением накладными скобами, масса 1 м кабеля до 1 кг 	0,22	0	0,22	100 м	16,7
Кабельные проводки. ат1	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 240 мм2 	3,05	0	3,05	100 м	28,4
Кабельные проводки. ат1	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг 	4,13	0	4,13	100 м	12,4
Канализация производственная К3	Прокладка трубопроводов канализации из полиэтиленовых труб высокой плотности диаметром 50 мм 	0	0	0	100 м	18,4
Монтаж трубопроводов и арматуры. Водопровод производственно-противопожарный В2	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 25 мм 	0,2	0	0,2	100 м	54,2
Монтаж трубопроводов и арматуры. Водопровод производственно-противопожарный В2	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 65 мм 	0,09	0	0,09	100 м	74
Монтаж трубопроводов и арматуры. Водопровод производственно-противопожарный В2	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 80 мм 	0,06	0	0,06	100 м	85,6
Монтаж трубопроводов и арматуры. Водопровод производственно-противопожарный В2	Прокладка трубопроводов водоснабжения из напорных полиэтиленовых труб низкого давления среднего типа наружным диаметром 90 мм 	0,05	0	0,05	100 м	18,2
Монтаж трубопроводов и арматуры. Водопровод производственно-противопожарный В2	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 50 мм 	0,2	0	0,2	100 м	3,85
Монтаж трубопроводов и арматуры. Водопровод производственно-противопожарный В2	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 100 мм 	0,59	0	0,59	100 м	4,2
Монтаж трубопроводов и арматуры. Канализация механически загрязненных вод к4	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 200 мм 	0,04	0	0,04	100 м	5,12
Монтаж трубопроводов, арматуры и оборудования. водопровод хозяйственно-питьевой В1	Прокладка внутренних трубопроводов водоснабжения и отопления из полипропиленовых труб: 20 мм (в т.ч. сборка узлов)	0,22	0	0,22	100 м	34,1
Монтаж трубопроводов, арматуры и оборудования. водопровод хозяйственно-питьевой В1	Прокладка внутренних трубопроводов водоснабжения и отопления из полипропиленовых труб: 32 мм( в т.ч. сборка узлов)	0,07	0	0,07	100 м	41,2
Монтаж трубопроводов, арматуры и оборудования. водопровод хозяйственно-питьевой В1	Прокладка трубопроводов водоснабжения из напорных полиэтиленовых труб низкого давления среднего типа наружным диаметром 63 мм 	0,05	0	0,05	100 м	15,4
Монтаж трубопроводов	Трубопровод установок газового пожаротушения из стальных труб, монтируемый из готовых узлов, диаметр условного прохода 10 мм	0,002	0	0,002	1000 м	450
Монтаж трубопроводов	Трубопровод установок газового пожаротушения из стальных труб, монтируемый из готовых узлов, диаметр условного прохода 32 мм	0,0009	0	0,0009	1000 м	612
Монтаж трубопроводов	Трубопровод установок газового пожаротушения из стальных труб, монтируемый из готовых узлов, диаметр условного прохода 32 мм	0,026	0	0,026	1000 м	612
"Монтаж приборов и оборудования. ОВ
"	Установка регистров из стальных сварных труб диаметром нитки 100 мм 	1,575	0	1,575	100 м	0,48
Монтаж трубопроводо и арматуры	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 100 мм 	0,5	0	0,5	100 м	104,5
Монтаж трубопроводо и арматуры	Прокладка трубопроводов отопления из стальных электросварных труб диаметром до 40 мм (45х2) 	0,6	0	0,6	100 м	65
Монтаж трубопроводо и арматуры	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 80 мм 	0,02	0	0,02	100 м	85,6
Монтаж трубопроводо и арматуры	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 150 мм 	0,01	0	0,01	100 м	132
Монтаж трубопроводо и арматуры	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 15 мм 	0,13	0	0,13	100 м	51,2
Монтаж трубопроводо и арматуры	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 65 мм 	0,02	0	0,02	100 м	74
Монтаж трубопроводо и арматуры	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 100 мм 	0,5	0	0,5	100 м	4,2
Монтаж трубопроводо и арматуры	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 200 мм 	0,01	0	0,01	100 м	5,12
Монтаж трубопроводо и арматуры	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 50 мм 13+60+2+2-гр.4 	0,77	0	0,77	100 м	3,85
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 100 мм 	0,11	0	0,11	100 м	104,5
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 15 мм 	0,05	0	0,05	100 м	51,2
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (25х2) 	0,2	0	0,2	100 м	54,2
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 80 мм 	0,02	0	0,02	100 м	85,6
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 15 мм	0,13	0	0,13	100 м	51,2
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (25х2) 	2,25	0	2,25	100 м	54,2
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (Т25х2) 	0,13	0	0,13	100 м	54,2
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления из стальных водогазопроводных неоцинкованных труб диаметром 20 мм (20х2,8) 	0,1	0	0,1	100 м	51,2
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (32х2,5) 	1,05	0	1,05	100 м	65
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (Т32х2,5) 	0,06	0	0,06	100 м	65
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления из стальных водогазопроводных неоцинкованных труб диаметром 25 мм (25х3,2) 	0,02	0	0,02	100 м	65
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 25 мм (ц-р 25х3,2) 	0,15	0	0,15	100 м	54,2
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (38х2) 	0,13	0	0,13	100 м	65
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления из стальных водогазопроводных неоцинкованных труб диаметром 32 мм (32х3,2) 	0,01	0	0,01	100 м	74
Монтаж трубопроводов и арматуры.ОВ	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 50 мм (57х2,8) 	0,12	0	0,12	100 м	74
Монтаж трубопроводов и арматуры.ОВ	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 200 мм 	0,05	0	0,05	100 м	5,12
Монтаж трубопроводов и арматуры.ОВ	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 100 мм 	0,17	0	0,17	100 м	4,2
Монтаж трубопроводов и арматуры.ОВ	Гидравлическое испытание трубопроводов систем отопления, водопровода и горячего водоснабжения диаметром до 50 мм 	4,56	0	4,56	100 м	3,85
Монтаж трубопррводов и арматуры	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 15 мм 	0,31	0	0,31	100 м	51,2
Монтаж трубопррводов и арматуры	Трубопровод из медных труб на условное давление до 2,5 МПа, диаметр труб наружный 18 мм 	0,12	0	0,12	100 м	24
Огнезащита и тепловая изоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками 	1,2	0	1,2	10 м	2,1
Теплоизоляция	Изоляция трубопроводов диаметром 48 мм изделиями из вспененного каучука  трубками	6	0	6	10 м	2,1
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками (д.108 мм)	5	0	5	10 м	2,1
Теплоизоляция	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками (д.89 мм)	0,2	0	0,2	10 м	2,1
Теплоизоляция	Изоляция трубопроводов диаметром 15 мм изделиями из вспененного каучука  трубками	0,6	0	0,6	10 м	2,1
Теплоизоляция. ОВ. ПОЗ.188	Изоляция трубопроводов диаметром 48 мм изделиями из вспененного каучука  трубками	0,4	0	0,4	10 м	2,1
Теплоизоляция. ОВ. ПОЗ.188	Изоляция трубопроводов диаметром 57 мм изделиями из вспененного каучука  трубками	0,4	0	0,4	10 м	2,1
Теплоизоляция. ОВ. ПОЗ.188	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками  (д.108 мм)	1,5	0	1,5	10 м	2,1
Теплоизоляция. ОВ. ПОЗ.188	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками  (д.133 мм)	0,5	0	0,5	10 м	2,1
Теплоизоляция. ОВ. ПОЗ.188	Изоляция трубопроводов изделиями из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") трубками  (д.89 мм)	0,2	0	0,2	10 м	2,1
Теплоизоляция. ОВ. ПОЗ.188	Изоляция трубопроводов диаметром 42 мм изделиями из вспененного каучука  трубками. Прим.	0,8	0	0,8	10 м	2,1
Теплоизоляция. ОВ. ПОЗ.188	Изоляция трубопроводов диаметром 25 мм изделиями из вспененного каучука  трубками. Прим.	2,8	0	2,8	10 м	2,1
Заземление	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям 	1,1	0	1,1	100 м	45,6
Заземление	Проводник заземляющий открыто по строительным основаниям из полосовой стали сечением 100 мм2 	1	0	1	100 м	38,4
Заземление	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям 	1,74	0	1,74	100 м	45,6
Заземление	Проводник заземляющий открыто по строительным основаниям из полосовой стали сечением 100 мм2 	1,2	0	1,2	100 м	38,4
Кабельные конструкции, трубные проводки. ат. 	Профиль перфорированный монтажный длиной 2 м 	0,18	0	0,18	100 м	18,2
Кабельные конструкции, трубные проводки. ат. 	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 25 мм 	1,38	0	1,38	100 м	84,5
Кабельные конструкции, трубные проводки. ат. 	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 40 мм 	0,44	0	0,44	100 м	102
Кабельные конструкции, трубные проводки. ат. 	Трубная проводка из бесшовных труб углеродистых и низколегированных сталей на условное давление свыше 10 МПа на соединениях сварных, диаметр наружный 15 мм 	0,1	0	0,1	1000 м	1240
Кабельные проводки. АТ	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг 	0,68	0	0,68	100 м	12,4
Кабельные проводки. АТ	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг 	1,82	0	1,82	100 м	11,4
Кабельные проводки. АТ	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг 	10,16	0	10,16	100 м	12,4
Кабельные проводки. АТ	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг 	6,61	0	6,61	100 м	12,4
Заземление. ПС	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям 	0,2	0	0,2	100 м	45,6
Кабельные конструкции, трубные проводки. ПС	Рукав металлический наружным диаметром до 48 мм 	0,2	0	0,2	100 м	16,8
Кабельные конструкции, трубные проводки. ПС	Короб металлический по стенам и потолкам, длина 2 м 	0,8	0	0,8	100 м	114
Кабельные проводки. ПС	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением на поворотах и в конце трассы, масса 1 м кабеля до 2 кг. Производство работ на высоте свыше 2 до 8 м, применен коэффициент к нормам 	0,9	0	0,9	100 м	14,75
Кабельные проводки. ПС	Провод двух- и трехжильный с разделительным основанием по стенам и потолкам, прокладываемый по основаниям бетонным и металлическим. На высоте до 15 м, применен коэффициент к нормам затрат труда - 1,1.	0,2	0	0,2	100 м	26,95
Кабельные проводки. ПС	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением на поворотах и в конце трассы, масса 1 м кабеля до 2 кг 	2	0	2	100 м	13,41
Кабельные проводки. ПС	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 2,5 мм2 	0,2	0	0,2	100 м	5,12
Кабельные проводки. ПС	Заделка проходов при прокладке кабелей по стенам и потолкам 	0,1	0	0,1	100 м	114
Кабельные проводки. ПС	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг 	0,8	0	0,8	100 м	11,4
Кабельные проводки. ПС	Провод двух- и трехжильный с разделительным основанием по стенам и потолкам, прокладываемый по основаниям бетонным и металлическим 	2,4	0	2,4	100 м	24,5
Заземление. СОП	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям 	0,2	0	0,2	100 м	45,6
Кабельные конструкции, трубные проводки. СОП	Рукав металлический наружным диаметром до 48 мм 	0,2	0	0,2	100 м	16,8
Кабельные проводки. СОП	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 2,5 мм2 	0,2	0	0,2	100 м	5,12
Кабельные проводки. СОП	Заделка проходов при прокладке кабелей по стенам и потолкам 	0,1	0	0,1	100 м	114
Кабельные проводки. СОП	Кабель двух-четырехжильный по установленным конструкциям и лоткам с установкой ответвительных коробок в помещениях с нормальной средой сечением жилы до 10 мм2 	2	0	2	100 м	15,8
Кабельные проводки. СОП	Провод двух- и трехжильный с разделительным основанием по стенам и потолкам, прокладываемый по основаниям бетонным и металлическим 	0,4	0	0,4	100 м	24,5
Кабельные проводки. СОП	Провод в коробах, сечением до 6 мм2 	0,4	0	0,4	100 м	8,45
Кабельные конструкции, трубные проводки. СПБА	Профиль перфорированный монтажный длиной 2 м 	0,1	0	0,1	100 м	18,2
Кабельные конструкции, трубные проводки. СПБА	Рукав металлический наружным диаметром до 48 мм 	1,4	0	1,4	100 м	16,8
Кабельные проводки. СПБА	Труба стальная по установленным конструкциям, по стенам с креплением скобами, диаметр до 40 мм 	0,5	0	0,5	100 м	102
Кабельные проводки. СПБА	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 6 мм2 	1,9	0	1,9	100 м	6,15
Кабельные проводки. СПБА	Кабель до 35 кВ с креплением накладными скобами, масса 1 м кабеля до 0,5 кг 	0,5	0	0,5	100 м	16,7
Кабельные проводки. СПБА	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг 	12,42	0	12,42	100 м	12,4
Кабельные проводки. СПБА	Демонтаж кабеля	3,75	0	3,75	100 м	6,2
Заземление. Спба	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям(ПВ-1) 	0,2	0	0,2	100 м	45,6
Кабельные конструкции, трубные проводки. СС	Короб металлический по стенам и потолкам, длина 2 м 	0,6	0	0,6	100 м	114
Кабельные конструкции, трубные проводки. СС	Труба стальная для слаботочных сетей, требующих экранирования, в готовых бороздах и перекрытиях, диаметр до 50 мм 	0,03	0	0,03	100 м	54,2
Кабельные проводки. СС	Снятие с кабеля верхнего джутового покрова, масса 1 м кабеля до 9 кг 	0,3	0	0,3	100 м	4,56
Кабельные проводки. СС	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 35 мм2 	0,1	0	0,1	100 м	11,4
Кабельные проводки. СС	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 2 кг 	1,4	0	1,4	100 м	14,2
Кабельные проводки. СС	Провод в коробах, сечением до 35 мм2 	0,6	0	0,6	100 м	15,4
Заземление. ЭМ	Проводник заземляющий открыто по строительным основаниям из полосовой стали сечением 100 мм2 	3	0	3	100 м	38,4
Заземление. ЭМ	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям 	1,8	0	1,8	100 м	45,6
Заземление. ЭМ	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям 	1,58	0	1,58	100 м	45,6
Кабельные конструкции, трубные проводки. эм	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 25 мм 	0,84	0	0,84	100 м	84,5
Кабельные конструкции, трубные проводки. эм	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, в опалубке фундаментов, диаметр до 25 мм 	1,36	0	1,36	100 м	51,2
Кабельные конструкции, трубные проводки. эм	Рукав металлический наружным диаметром до 48 мм 	0,17	0	0,17	100 м	16,8
Кабельные конструкции, трубные проводки. эм	Профиль перфорированный монтажный длиной 2 м 	0,4	0	0,4	100 м	18,2
Кабельные конструкции, трубные проводки. эм	Труба стальная по установленным конструкциям, по стенам с креплением скобами, диаметр до 25 мм 	0,15	0	0,15	100 м	68,4
Кабельные проводки. ЭМ	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 70 мм2 	0,15	0	0,15	100 м	14,2
Кабельные проводки. ЭМ	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 2 кг 	0,3	0	0,3	100 м	14,2
Кабельные проводки. ЭМ	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг 	8,47	0	8,47	100 м	11,4
Кабельные проводки. ЭМ	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг 	27,64	0	27,64	100 м	12,4
Кабельные проводки. ЭМ	Кабель до 35 кВ с креплением накладными скобами, масса 1 м кабеля до 1 кг 	1,23	0	1,23	100 м	16,7
Кабельные проводки. ЭМ	Кабель до 35 кВ с креплением накладными скобами, масса 1 м кабеля до 0,5 кг 	4,78	0	4,78	100 м	16,7
Кабельные проводки. ЭМ	Демонтаж кабеля	31,17	0	31,17	100 м	6,2
Кабельные конструкции, трубные проводки.ЭО	Труба стальная по установленным конструкциям, по стенам с креплением скобами, диаметр до 25 мм 	0,25	0	0,25	100 м	68,4
Кабельные конструкции, трубные проводки.ЭО	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 25 мм 	1,82	0	1,82	100 м	84,5
Кабельные конструкции, трубные проводки.ЭО	Рукав металлический наружным диаметром до 48 мм 	0,06	0	0,06	100 м	16,8
Кабельные конструкции, трубные проводки.ЭО	Короб металлический по стенам и потолкам, длина 2 м 	0,52	0	0,52	100 м	114
Кабельные конструкции, трубные проводки.ЭО	Профиль перфорированный монтажный длиной 2 м 	0,31	0	0,31	100 м	18,2
Кабельные проводки ЭО 	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг	2,65	0	2,65	100 м	11,4
Кабельные проводки ЭО 	Кабель двух-четырехжильный сечением жилы до 16 мм2 с креплением накладными скобами, полосками с установкой ответвительных коробок 	7,6	0	7,6	100 м	18,5
Монтажные работы	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг ТЕРм-2001 64	0,55	0	0,55	100 м	12,4
Монтажные работы	Проводник заземляющий открыто по строительным основаниям из полосовой стали сечением 100 мм2 ТЕРм-2001 64	0,15	0	0,15	100 м	38,4
Монтажные работы	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям ТЕРм-2001 64	0,2	0	0,2	100 м	45,6
Монтажные работы	Трубная проводка из бесшовных труб углеродистых и низколегированных сталей на условное давление до 10 МПа на соединениях сварных, диаметр наружный 22 мм ТЕРм-2001 64	0,012	0	0,012	1000 м	1060
Арматура и трубопроводы	Прокладка трубопроводов водоснабжения из стальных водогазопроводных оцинкованных труб диаметром 15 мм ТЕР-2001 64	0,44	0	0,44	100 м	51,2
Арматура и трубопроводы	Трубопровод из медных труб на условное давление до 2,5 МПа, диаметр труб наружный 35 мм ТЕРм-2001 64	0,11	0	0,11	100 м	24
Арматура и трубопроводы	Трубопровод из медных труб на условное давление до 2,5 МПа, диаметр труб наружный 18 мм ТЕРм-2001 64	0,11	0	0,11	100 м	24
Арматура и трубопроводы	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром до 40 мм (38х2) ТЕР-2001 64	0,1	0	0,1	100 м	65
Арматура и трубопроводы	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 50 мм (57х2,8) ТЕР-2001 64	0,07	0	0,07	100 м	74
Арматура и трубопроводы	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 50 мм (57х3,5) ТЕР-2001 64	0,01	0	0,01	100 м	74
Арматура и трубопроводы	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 65 мм (76х3) ТЕР-2001 64	0,05	0	0,05	100 м	74
Арматура и трубопроводы	Прокладка трубопроводов отопления и водоснабжения из стальных электросварных труб диаметром 80 мм (89х3) ТЕР-2001 64	0,1	0	0,1	100 м	85,6
