"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Земляные работы.Обратная засыпка грунта. НВК. В1	Засыпка вручную траншей и ям, группа грунтов 1	2,2	0	2,2	100 м3	138
Колодцы ЖБ. НВК. В1	Устройство круглых колодцев из сборного железобетона в грунтах сухих	0,146	0	0,146	10 м3	118,2
Колодцы ЖБ. НВК. В2	Устройство круглых колодцев из сборного железобетона в грунтах сухих	0,146	0	0,146	10 м3	118,2
Водопровод хозяйственно-питьевой В1	Устройство основания под трубопроводы песчаного	8,56	4,2	4,36	10 м3	9,5
Водопровод хозяйственно-питьевой В1	Устройство круглых колодцев из сборного железобетона в грунтах мокрых	0,734	0	0,734	10 м3	146
Земляные работы	Разработка траншей и уширений под колодцы в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	1,004	0,602	0,402	1000 м3	0
Земляные работы	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,76	0,56	0,2	100 м3	268
Земляные работы	Доработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,31	0,2	0,11	100 м3	312
Земляные работы	Рытье приямков вручную, группа грунта 3	0,11	0,09	0,02	100 м3	234
Земляные работы	Присыпка труб вручную, группа грунтов 1	1,91	1	0,91	100 м3	52,4
Земляные работы	Обратная засыпка вручную траншей, группа грунтов 2	0,76	0,56	0,2	100 м3	168
Земляные работы	Обратная засыпка траншей с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 3 группа грунтов	0,747	0,52	0,227	1000 м3	0
Земляные работы	Разработка грунта в отвал с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	0,288	0,2	0,088	1000 м3	0
Земляные работы	Работа на отвале, группа грунтов 2	0,288	0,2	0,088	1000 м3	0
Земляные работы	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1	0,277	0,122	0,155	1000 м3	0
Земляные работы. Обратная засыпка грунта. В2. НВК1	Обратная засыпка траншей с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 3 группа грунтов	0,94	0,74	0,2	1000 м3	0
Земляные работы. Обратная засыпка грунта. В2. НВК1	Обратная засыпка вручную траншей, группа грунтов 2	1,27	0,27	1	100 м3	168
Земляные работы. Обратная засыпка грунта. В2. НВК1	Присыпка труб вручную, группа грунтов 1	2,19	0,19	2	100 м3	52,4
Земляные работы. Обратная засыпка грунта. В7. НВК1	Присыпка труб вручную, группа грунтов 2	1,15	1,15	0	100 м3	63,8
Земляные работы. Обратная засыпка грунта. В7. НВК1	Обратная засыпка вручную траншей, группа грунтов 2	1,23	1,23	0	100 м3	168
Земляные работы. Обратная засыпка грунта. В7. НВК1	Обратная засыпка траншей с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 2 группа грунтов	0,353	0,353	0	1000 м3	0
Земляные работы. Обратная засыпка грунта. В7. НВК1	Обратная засыпка вручную траншей, группа грунтов 2	1,57	1,57	0	100 м3	168
Земляные работы. Обратная засыпка грунта. К1 НВК1	Присыпка труб вручную, группа грунтов 1	0,85	0	0,85	100 м3	52,4
Земляные работы. Обратная засыпка грунта. К1 НВК1	Обратная засыпка вручную траншей, группа грунтов 2	0,89	0	0,89	100 м3	168
Земляные работы. Обратная засыпка грунта. К1 НВК1	Обратная засыпка траншей с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 3 группа грунтов	0,214	0	0,214	1000 м3	0
Земляные работы. Обратная засыпка грунта. К17. НВК1	Присыпка труб вручную, группа грунтов 2	0,2	0,2	0	100 м3	63,8
Земляные работы. Обратная засыпка грунта. К17. НВК1	Обратная засыпка вручную траншей, группа грунтов 2	0,23	0,23	0	100 м3	168
Земляные работы. Обратная засыпка грунта. К17. НВК1	Обратная засыпка траншей с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 3 группа грунтов	0,125	0,125	0	1000 м3	0
Земляные работы. Обратная засыпка грунта. К29. НВК1	Обратная засыпка вручную траншей, группа грунтов 2	0,24	0,24	0	100 м3	168
Земляные работы. Обратная засыпка грунта. К3. НВК1	Обратная засыпка траншей с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 3 группа грунтов	0,156	0	0,156	1000 м3	0
Земляные работы. Обратная засыпка грунта. К3. НВК1	Обратная засыпка вручную траншей, группа грунтов 2	0,69	0	0,69	100 м3	168
Земляные работы. Обратная засыпка грунта. К3. НВК1	Присыпка труб вручную, группа грунтов 1	0,45	0	0,45	100 м3	52,4
Земляные работы. Обратная засыпка грунта. К4 НВК1	Обратная засыпка траншей с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 3 группа грунтов	1,092	0	1,092	1000 м3	0
Земляные работы. Обратная засыпка грунта. К4 НВК1	Обратная засыпка вручную траншей, группа грунтов 2	1,27	0	1,27	100 м3	168
Земляные работы. Обратная засыпка грунта. К4 НВК1	Присыпка труб вручную, группа грунтов 2	1,1	0	1,1	100 м3	63,8
Земляные работы. Обратная засыпка грунта. К4Н. НВК1	Обратная засыпка траншей с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 3 группа грунтов	0,405	0	0,405	1000 м3	0
Земляные работы. Обратная засыпка грунта. К4Н. НВК1	Обратная засыпка вручную траншей, группа грунтов 2	0,3	0	0,3	100 м3	168
Земляные работы. Обратная засыпка грунта. К4Н. НВК1	Присыпка труб вручную, группа грунтов 2	0,3	0	0,3	100 м3	63,8
Земляные работы. Разработка грунта. В2. НВК1	Разработка траншей и уширений под колодцы в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	1,181	0,931	0,25	1000 м3	0
Земляные работы. Разработка грунта. В2. НВК1	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	1,27	0,27	1	100 м3	268
Земляные работы. Разработка грунта. В2. НВК1	Доработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,37	0,28	0,09	100 м3	312
Земляные работы. Разработка грунта. В2. НВК1	Рытье приямков вручную, группа грунта 3	0,13	0,05	0,08	100 м3	234
Земляные работы. Разработка грунта. В2. НВК1	Разработка грунта в отвал с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	0,278	0,028	0,25	1000 м3	0
Земляные работы. Разработка грунта. В2. НВК1	Работа на отвале, группа грунтов 2	0,278	0,028	0,25	1000 м3	0
Земляные работы. Разработка грунта. В2. НВК1	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1	0,25	0,09	0,16	1000 м3	0
Земляные работы. Разработка грунта. В7. НВК1	Разработка траншей и уширений под колодцы в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	0,454	0,454	0	1000 м3	0
Земляные работы. Разработка грунта. В7. НВК1	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	1,23	1,23	0	100 м3	268
Земляные работы. Разработка грунта. В7. НВК1	Доработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,14	0,14	0	100 м3	312
Земляные работы. Разработка грунта. В7. НВК1	Рытье приямков вручную, группа грунта 3	0,06	0,06	0	100 м3	234
Земляные работы. Разработка грунта. В7. НВК1	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	1,57	1,57	0	100 м3	268
Земляные работы. Разработка грунта. К1. НВК1	Разработка траншей и уширений под колодцы в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	0,319	0	0,319	1000 м3	0
Земляные работы. Разработка грунта. К1. НВК1	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,89	0	0,89	100 м3	268
Земляные работы. Разработка грунта. К1. НВК1	Доработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,1	0	0,1	100 м3	312
Земляные работы. Разработка грунта. К1. НВК1	Рытье приямков вручную, группа грунта 3	0,03	0	0,03	100 м3	234
Земляные работы. Разработка грунта. К1. НВК1	Разработка грунта в отвал с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	0,115	0	0,115	1000 м3	0
Земляные работы. Разработка грунта. К1. НВК1	Работа на отвале, группа грунтов 2-3	0,115	0	0,115	1000 м3	0
Земляные работы. Разработка грунта. К1. НВК1	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1	0,093	0	0,093	1000 м3	0
Земляные работы. Разработка грунта. К17. НВК1	Разработка траншей и уширений под колодцы в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	0,15	0,15	0	1000 м3	0
Земляные работы. Разработка грунта. К17. НВК1	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,23	0,23	0	100 м3	268
Земляные работы. Разработка грунта. К17. НВК1	Доработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,05	0,05	0	100 м3	312
Земляные работы. Разработка грунта. К17. НВК1	Рытье приямков вручную, группа грунта 3	0,02	0,02	0	100 м3	234
Земляные работы. Разработка грунта. К17. НВК1	Разработка грунта в отвал с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	0,01	0,01	0	1000 м3	0
Земляные работы. Разработка грунта. К17. НВК1	Работа на отвале, группа грунтов 2-3	0,01	0,01	0	1000 м3	0
Земляные работы. Разработка грунта. К29. НВК1	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,24	0,24	0	100 м3	268
Земляные работы. Разработка грунта. К3. НВК1	Разработка траншей и уширений под колодцы в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	0,212	0,075	0,137	1000 м3	0
Земляные работы. Разработка грунта. К3. НВК1	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,69	0,21	0,48	100 м3	268
Земляные работы. Разработка грунта. К3. НВК1	Доработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,07	0,07	0	100 м3	312
Земляные работы. Разработка грунта. К3. НВК1	Рытье приямков вручную, группа грунта 3	0,03	0	0,03	100 м3	234
Земляные работы. Разработка грунта. К3. НВК1	Разработка грунта в отвал с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	0,063	0	0,063	1000 м3	0
Земляные работы. Разработка грунта. К3. НВК1	Работа на отвале, группа грунтов 2-3	0,063	0	0,063	1000 м3	0
Земляные работы. Разработка грунта. К3. НВК1	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1	0,053	0	0,053	1000 м3	0
Земляные работы. Разработка грунта. К4. НВК1	Разработка траншей и уширений под колодцы в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	1,179	0	1,179	1000 м3	0
Земляные работы. Разработка грунта. К4. НВК1	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	1,27	0	1,27	100 м3	268
Земляные работы. Разработка грунта. К4. НВК1	Доработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 3	0,36	0	0,36	100 м3	312
Земляные работы. Разработка грунта. К4. НВК1	Рытье приямков вручную, группа грунта 3	0,13	0	0,13	100 м3	234
Земляные работы. Разработка грунта. К4. НВК1	Разработка грунта в отвал с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	0,013	0	0,013	1000 м3	0
Земляные работы. Разработка грунта. К4. НВК1	Работа на отвале, группа грунтов 2-3	0,013	0	0,013	1000 м3	0
Земляные работы. Разработка грунта. К4Н. НВК1	Разработка траншей и уширений под колодцы в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	0,435	0	0,435	1000 м3	0
Земляные работы. Разработка грунта. К4Н. НВК1	Разработка грунта в траншеях и котлованах глубиной более 3 м вручную с подъемом краном при наличии креплений, группа грунтов 3	0,3	0	0,3	100 м3	268
Земляные работы. Разработка грунта. К4Н. НВК1	Доработка грунта в траншеях и котлованах глубиной более 3 м вручную с подъемом краном при наличии креплений, группа грунтов 3	0,13	0	0,13	100 м3	312
Земляные работы. Разработка грунта. К4Н. НВК1	Рытье приямков вручную, группа грунта 3	0,05	0	0,05	100 м3	234
Земляные работы. Разработка грунта. К4Н. НВК1	Разработка грунта в отвал с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2	0,013	0	0,013	1000 м3	0
Земляные работы. Разработка грунта. К4Н. НВК1	Работа на отвале, группа грунтов 2-3	0,013	0	0,013	1000 м3	0
Канализация механически загрязненных вод напорная К4Н	Устройство круглых колодцев из сборного железобетона в грунтах мокрых	0,3	0	0,3	10 м3	146
Канализация на закачку в пласт К17. НВК1	Устройство круглых сборных железобетонных канализационных колодцев диаметром 1 м в мокрых грунтах	0,467	0,467	0	10 м3	146
Канализация производственная К3. НВК	Устройство основания под трубопроводы песчаного	0,784	0	0,784	10 м3	9,5
Канализация производственная К3. НВК	Устройство круглых сборных железобетонных канализационных колодцев диаметром 1 м в мокрых грунтах	0,2	0	0,2	10 м3	146
Монтажные работы. Водопровод производственно-противопожарный В2	Устройство круглых колодцев из сборного железобетона в грунтах мокрых	0,882	0,08	0,802	10 м3	146
Монтажные работы. Водопровод производственно-противопожарный В2	Устройство основания под трубопроводы песчаного	3,05	0	3,05	10 м3	9,5
Монтажные работы. Канализация бытовая К1. К1. НВК1	Устройство основания под трубопроводы песчаного	1,12	0	1,12	10 м3	9,5
Монтажные работы. Канализация бытовая К1. К1. НВК1	Устройство круглых сборных железобетонных канализационных колодцев диаметром 1 м в мокрых грунтах	1,101	0	1,101	10 м3	146
Монтажные работы. Канализация механически загрязненных вод К4. НВК1	Устройство круглых сборных железобетонных канализационных колодцев диаметром 1 м в мокрых грунтах	2,409	0	2,409	10 м3	146
Теплоизоляция. ТК1	Изоляция трубопроводов цилиндрами из минеральной ваты на синтетическом связующем 	11,2	0	11,2	м3	12,1
Теплоизоляция. ТК2	Изоляция трубопроводов матами ТЕХ МАТ	7,616	0	7,616	м3	11,4
Теплоизоляция. ТК2	Изоляция трубопроводов цилиндрами из минеральной ваты на синтетическом связующем ТЕР-2001 64	32,65	0	32,65	м3	12,1
Теплоизоляция. ТК2	Изоляция арматуры и фланцев съемными полуфутлярами с заполнителем из матов теплоизоляционных "ТЕХ МАТ"	0,358	0	0,358	м3	24,2
Теплоизоляционные работы. ТС	Изоляция трубопровода  диаметром 32 мм матами и трубками F-flex (участок L - 1 м), 	0,01	0,01	0	м3	14,2
Теплоизоляционные работы. ТС	Изоляция трубопровода диаметром 38 мм матами и трубками F-flex (участок L - 220 м)	1,55	1,55	0	м3	14,2
Теплоизоляционные работы. ТС	Изоляция трубопровода диаметром 45 мм матами и трубками F-flex (участок L - 80,5 м)	0,795	0,795	0	м3	14,2
Теплоизоляционные работы. ТС	Изоляция трубопровода диаметром 57 мм матами и трубками F-flex (участок L - 274 м)	3,11	3,109504	0,000496	м3	14,2
Теплоизоляционные работы. ТС	Изоляция трубопровода диаметром 76 мм матами и трубками F-flex (участок L - 260 м)	4,05	4,05	0	м3	14,2
Теплоизоляционные работы. ТС	Изоляция трубопровода диаметром 89 мм матами и трубками F-flex (участок L - 74 м)	1,4	1,4	0	м3	14,2
Теплоизоляционные работы. ТС	Изоляция трубопровода диаметром 108 мм матами и трубками F-flex (участок L - 70 м)	1,42	1,42	0	м3	14,2
Теплоизоляционные работы. ТС	Изоляция трубопровода диаметром 159 мм матами и трубками F-flex, (участок L - 70 м)	6,05	6,05	0	м3	14,2
Теплоизоляционные работы. ТС	Изоляция трубопровода диаметром 219 мм матами и трубками F-flex, (участок L - 70 м)	13,33	13,33	0	м3	14,2
Теплоизоляционные работы. ТС	Изоляция трубопроводов шнуром теплоизоляционным энергетическим	3,015	3,015	0	м3	18,2
Теплоизоляционные работы. ТС	Изоляция арматуры и фланцев съемными полуфутлярами с заполнителем из матов теплоизоляционных "ТЕХ МАТ"	1,17	1,17	0	м3	24,2
Внутренние стены и перегородки	Изоляция покрытий и перекрытий изделиями из волокнистых и зернистых материалов насухо 	0,2	0	0,2	м3	0,66
Внутренние стены и перегородки	Изоляция поверхностей стен плитами Rockwool (с исключенем ресурса: плиты из минеральной ваты) 	4,32	0	4,32	м3	1,32
Входные крыльца	Устройство крылец из бетона В 15 	0	0	0	100 м3	1840
Ограждающие конструкции	Утепление узлов примыкания м/в плитами марки "Изол-Н" 	1,6	0	1,6	м3	1,32
Ограждающие конструкции	Утепление узлов примыкания м/в плитами 	0,09	0	0,09	м3	1,32
Покрытие	Устройство подготовки из щебеня толщ.150мм 	0	0	0	м3	1,22
Полы	Устройство монолитных бетонных бортиков и пандусов из бетона В7,5 толщ. 150мм 	0,022	0	0,022	100 м3	462
Теплоизоляционные работы	Изоляция трубопроводов матами минераловатными марок 75, 100 	0,609	0	0,609	м3	11,4
Бетонные и ж/б конструкции на сульфатостойком портландцементе, W4, F150	Устройство бетонной подготовки под фундаменты из бетона кл.В10 толщ.100мм 	0,028	0	0,028	100 м3	35,6
Бетонные и ж/б конструкции на сульфатостойком портландцементе, W4, F150	Устройство монолитных железобетонных фундаментов из бетона кл.В15 объемом до 25 м3 	0,17	0	0,17	100 м3	284
Бетонные и ж/б конструкции на сульфатостойком портландцементе, W4, F150	Устройство монолитных железобетонных фундаментов из бетона кл.В15 объемом более 25 м3 	0,41	0	0,41	100 м3	210
Земляные работы. Обратная засыпка грунта	Уплотнение грунта вибрационными катками 2,2 т на первый проход по одному следу при толщине слоя 25 см 	1,358	0	1,358	1000 м3	0
Земляные работы. Обратная засыпка грунта	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 1 	0,2	0	0,2	100 м3	138
Земляные работы. Обратная засыпка грунта	При перемещении грунта на каждые последующие 5 м добавлять к расценке 01-01-034-02 	0,816	0	0,816	1000 м3	0
Земляные работы. Обратная засыпка грунта	Обратная засыпка котлована с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2 	0,816	0	0,816	1000 м3	0
Земляные работы. Обратная засыпка грунта	При перемещении грунта на каждые последующие 5 м добавлять к расценке 01-01-034-01 	0,542	0	0,542	1000 м3	0
Земляные работы. Обратная засыпка грунта	Обратная засыпка котлована с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 1 	0,542	0	0,542	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 1 	0,14	0	0,14	1000 м3	0
Земляные работы. Разработка грунта	Работа на отвале, группа грунтов 3 	0,677	0	0,677	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 1 	0,542	0	0,542	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2 	0,346	0	0,346	1000 м3	0
Земляные работы. Разработка грунта	Доработка грунта вручную, группа грунтов 2 	0,4	0	0,4	100 м3	168
Земляные работы. Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1 	0,45	0	0,45	1000 м3	0
Кабельные проводки. СОП	Прокладка кабеля или провода питания на провододержателях сечением 6 мм2 	0,2	0	0,2	м3	12,4
Теплоизоляционные работы. Т	Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных колец, окраска, установка проволочного каркаса и штырей.	1,2	0	1,2	м3	12,4
Теплоизоляционные работы. Т	Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных колец, окраска, установка проволочного каркаса и штырей.	1,066	0	1,066	м3	12,4
Теплоизоляционные работы. Т	Изоляция трубопроводов шнуром теплоизоляционным энергетическим марки 150 в оплетке из стеклоровинга 	4,189	0	4,189	м3	18,2
Теплоизоляционные работы. Т	Изоляция арматуры и фланцев съемными полуфутлярами с заполнителем из матов теплоизоляционных "ТЕХ МАТ" 	2,977	0	2,977	м3	24,2
Тепло изоляция трубопроводы	Изоляция трубопроводов матами минераловатными прошивными безобкладочными и в обкладках марки 125  "TEX MAT" толщ.50 (Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных	0,073	0	0,073	м3	11,4
Тепло из трубопроводы	Изоляция трубопроводов матами теплоизоляционными "ТЕХ МАТ" из минеральной ваты (Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных колец, окраска, установка проволочно	6,211	0	6,211	м3	11,4
Тепло из трубопроводы	Изоляция аппаратов шнуром теплоизоляционным энергетическим марки 150 в оплетке из стеклоровинга ТЕР-2001 64	0,463	0	0,463	м3	18,2
Тепло из трубопроводы	Изоляция арматуры и фланцев съемными полуфутлярами с заполнителем из матов теплоизоляционных "ТЕХ МАТ" ТЕР-2001 64	1,75	0	1,75	м3	24,2
Теплоизоляция	Изоляция трубопроводов матами минераловатными марок 75, 100, плитами минераловатными на синтетическом связующем марки 75 ТЕР-2001 64	3,12	0	3,12	м3	11,4
Кабельные проводки. СОП	Прокладка кабеля или провода питания на провододержателях сечением 6 мм2 ТЕРм-2001 64	0,2	0	0,2	м3	12,4
Теплоизоляция оборудования	Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных колец, окраска, установка проволочного каркаса и штырей.	2,223	0	2,223	м3	12,4
Теплоизоляция трубопроводов	Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных колец, окраска, установка проволочного каркаса и штырей.	4,127	0	4,127	м3	12,4
Теплоизоляция трубопроводов	Изоляция трубопроводов шнурами асбестовыми пуховыми 	0,095	0	0,095	м3	18,2
Теплоизоляция трубопроводов	Изоляция арматуры и фланцев полуфутлярами из матов минераловатных прошивных  "TEX MAT" толщ.50,60 	1,418	0	1,418	м3	24,2
Покрытие площадки	Основание под плиты тратуарного типа  из цем.песчан. смеси сост.1:10 толщ.100мм ТЕР-2001 64	0,278	0	0,278	100 м3	13,7
Теплоизоляция трубопроводов	Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных колец, окраска, установка проволочного каркаса и штырей.	1,418	0	1,418	м3	12,4
Теплоизоляция трубопроводов	Изоляция арматуры и фланцев съемными полуфутлярами с заполнителем из матов теплоизоляционных "ТЕХ МАТ" ТЕР-2001 64	0,412	0	0,412	м3	24,2
Земляные работы. разработка грунта	Разработка грунта в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов 2	0,42	0,376	0,044	1000 м3	0
Земляные работы. разработка грунта	Доработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3 	0,13	0,032	0,098	100 м3	212
Земляные работы. разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов 2	0,13	0	0,13	1000 м3	0
Земляные работы. разработка грунта	Работа на отвале, группа грунтов 2-3	0,452	0	0,452	1000 м3	0
Земляные работы. разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1	0,403	0	0,403	1000 м3	0
Земляные работы. обратная засыпка грунта	Послойное (20см) трамбование пневматическими трамбовками, группа грунтов 3	3,71	0	3,71	100 м3	21,4
Земляные работы. обратная засыпка грунта	Обратная засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 2 группа грунтов ТЕР-2001 64	0,371	0,07	0,301	1000 м3	0
Бетонные и ж/б конструкции	Устройство бетонной подготовки под фундаменты из бетона на сульфатостойком цементе, кл.В10, F100, W4, толщ.100мм	0,0088	0,005	0,0038	100 м3	137
Бетонные и ж/б конструкции	Устройство железобетонных монолитных фундаментов из бетона на сульфатостойком цементе, кл.В15, F100, W4, объемом до 5м3	0,0362	0,0362	0	100 м3	362
Покрытие	Устройство основания из цементно-песчаной смеси сост. 1:10, толщ.100мм по уклону	2,03	0	2,03	м3	0,137
Покрытие	Устройство местных заделок из бетона класса В15, W4 	0,005	0	0,005	100 м3	422
Изолировочно-окрасочные работы	Изоляция трубопроводов холстами стекловолокнистыми, полотном холстопрошивным стекловолокнистым марки ПХС-Т, полотном иглопробивным стеклянным марки ИПС-Т	0,05	0	0,05	м3	14,2
Теплоизоляция оборудования	Изоляция плоских и криволинейных поверхностей матами минераловатными прошивными безобкладочными и в обкладках из стеклоткани или металлической сетки, плитами минераловатными на синтетическом связующем	3,691	0	3,691	м3	48,5
Теплоизоляция. Трубопроводы	Изоляция трубопроводов матами минераловатными прошивными безобкладочными и в обкладках марки 125  "TEX MAT" толщ.50 	0,085	0	0,085	м3	11,4
Теплоизоляция. Трубопроводы	Изоляция трубопроводов шнурами асбестовыми пуховыми	0,005	0	0,005	м3	18,2
Теплоизоляция. Трубопроводы	Изоляция арматуры и фланцев полуфутлярами из матов минераловатных прошивных  "TEX MAT" толщ.50 	0,077	0	0,077	м3	24,2
Железобетонное каре Фкм1	Устройство бетонной уклонообразующей стяжки из бетона кл В12,5 толщ.85мм ТЕР-2001 64	0,0663	0	0,0663	100 м3	137
Железобетонное каре Фкм1	Устройство бетонной подготовки из бетона кл В10 толщ.100мм ТЕР-2001 64	0,095	0	0,095	100 м3	137
Железобетонное каре Фкм1	Устройство стен и плоских днищ при толщине более 150 мм прямоугольных сооружений из бетона кл В15 ТЕР-2001 64	0,239	0	0,239	100 м3	412
Земляные работы. Обратная засыпка грунта	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 1 ТЕР-2001 64	0,02	0	0,02	100 м3	138
Земляные работы. Обратная засыпка грунта	Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 130 л.с., 2 группа грунтов ТЕР-2001 64	0,068	0	0,068	1000 м3	0
Земляные работы. Обратная засыпка грунта	При перемещении грунта на каждые последующие 5 м добавлять к норме 01-01-034-2(добавить 15м) ТЕР-2001 64	0,068	0	0,068	1000 м3	0
Земляные работы. Обратная засыпка грунта	Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 ТЕР-2001 64	0,68	0	0,68	100 м3	16,4
Земляные работы. Обратная засыпка грунта	Работа на отвале, группа грунтов 1 ТЕР-2001 64	0,115	0	0,115	1000 м3	0
