"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.
Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	10,8	0	10,8	м2
Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	10,8	0	10,8	м2
Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	10,8	0	10,8	м2
Окраска. Т	Очистка поверхности щетками	23,63	0	23,63	м2
Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	23,63	0	23,63	м2
Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом ТЕР-2001 64	23,63	0	23,63	м2
Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	23,63	0	23,63	м2
Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	23,63	0	23,63	м2
Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	23,63	0	23,63	м2
Окраска. Т	Очистка поверхности щетками	34,75	0	34,75	м2
Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	34,75	0	34,75	м2
Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом ТЕР-2001 64	34,75	0	34,75	м2
Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	34,75	0	34,75	м2
Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	34,75	0	34,75	м2
Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	34,75	0	34,75	м2
Окраска. Т	Очистка поверхности щетками	3,89	0	3,89	м2
Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	3,89	0	3,89	м2
Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом ТЕР-2001 64	3,89	0	3,89	м2
Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	3,89	0	3,89	м2
Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	3,89	0	3,89	м2
Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	3,89	0	3,89	м2
Окраска. Т	Очистка поверхности щетками	29,41	0	29,41	м2
Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	29,41	0	29,41	м2
Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом ТЕР-2001 64	29,41	0	29,41	м2
Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан  	29,41	0	29,41	м2
Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	29,41	0	29,41	м2
Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	29,41	0	29,41	м2
Тепло из трубопроводы	Покрытие поверхности изоляции трубопроводов сталью оцинкованной толщ.0,5мм 	169,09	0	169,09	м2
Тепло из трубопроводы	Изоляция арматуры и фланцев съемными полуфутлярами из оцинкованного листа толщ.0,8мм ТЕР-2001 64	53,14	0	53,14	м2
Тепло из трубопроводы	Окраска металлических поверхностей за один раз лаком БТ-577 	0,95	0	0,95	м2
Тепло из трубопроводы	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для производства теплоизоляционных работ ТЕР-2001 64	48,98	0	48,98	м2
Тепло из трубопроводы	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных ТЕР-2001 64	33,49	0	33,49	м2
Арматура и трубопроводы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 23,28+1,79+0,48+1,2+2,98+12,8+0,42+6,94+2,01+0,95+0,42-гр.4 ТЕР-2001 64	53,27	0	53,27	м2
Арматура и трубопроводы	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза ТЕР-2001 64	53,27	0	53,27	м2
Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	2	0	2	м2
Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	4	0	4	м2
Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	2	0	2	м2
Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	2	0	2	м2
Вентиляторы	Установка вставок гибких к радиальным вентиляторам ТЕР-2001 64	2	0	2	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,7 мм, периметром 4000 мм ТЕР-2001 64	4,8	0	4,8	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,7 мм, периметром до 3200 мм ТЕР-2001 64	6,4	0	6,4	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, периметром 900 мм ТЕР-2001 64	0,5	0	0,5	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром от 500 до 560 мм (на высоте 4м) ТЕР-2001 64	9	0	9	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 450 мм (на высоте 4м) ТЕР-2001 64	10	0	10	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром от 500 до 560 мм (на высоте 4м) ТЕР-2001 64	9	0	9	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм (на высоте 4м) ТЕР-2001 64	10	0	10	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм (на высоте 4м) ТЕР-2001 64	7	0	7	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм (на высоте 4м) ТЕР-2001 64	13	0	13	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 250 мм (на высоте 4м) ТЕР-2001 64	3,5	0	3,5	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм (на высоте 4м) ТЕР-2001 64	3	0	3	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм (на высоте 5м) ТЕР-2001 64	9	0	9	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 450 мм (на высоте 5м) ТЕР-2001 64	6	0	6	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром от 500 до 560 мм (на высоте 5м) ТЕР-2001 64	7	0	7	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм (на высоте 5м) ТЕР-2001 64	1	0	1	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром от 500 до 560 мм (на высоте 5м) ТЕР-2001 64	5	0	5	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм (на высоте 5м) ТЕР-2001 64	10	0	10	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 450 мм (на высоте 5м) ТЕР-2001 64	2,5	0	2,5	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм (на высоте 5м) ТЕР-2001 64	3	0	3	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, периметром до 2400 мм (на высоте 5м) ТЕР-2001 64	2,5	0	2,5	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, периметром от 1100 до 1600 мм (на высоте 5м) ТЕР-2001 64	1,2	0	1,2	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, периметром от 1100 до 1600 мм (на высоте 5м) ТЕР-2001 64	1	0	1	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм (на высоте 5м) ТЕР-2001 64	3,5	0	3,5	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм (на высоте 6м) ТЕР-2001 64	7	0	7	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм (на высоте 6м) ТЕР-2001 64	6	0	6	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,7 мм, периметром до 3200 мм (на высоте 6м) ТЕР-2001 64	1,2	0	1,2	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,5 мм, диаметром до 200 мм (на высоте 6м) ТЕР-2001 64	1	0	1	м2
Воздуховоды	Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса П (плотные) толщиной 0,5 мм, диаметром до 450 мм (на высоте 8м) ТЕР-2001 64	20	0	20	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, периметром до 2400 мм (на высоте 8м) ТЕР-2001 64	1	0	1	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, периметром до 2400 мм (на высоте 8м) ТЕР-2001 64	1,5	0	1,5	м2
Воздуховоды	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,9 мм, периметром до 3600 мм (на высоте 8м) ТЕР-2001 64	4	0	4	м2
Огнезащита	Огнезащитное покрытие металлоконструкций воздуховодов приточно-вытяжных систем составом "Файрекс-300" с пределом огнестойкости 1,0 час ТЕР-2001 64	22	0	22	м2
Огнезащита	Огнезащитная пропитка ковровых изделий, тканей, занавесей составом "КЛОД-02" ТЕР-2001 64	4,3	0	4,3	м2
Огнезащита	Покрытие поверхности изоляции трубопроводов стеклотканью НПГ-240С ТЕР-2001 64	22	0	22	м2
Огнезащита	Окраска металлических поверхностей краской МА-15 темно-серой ТЕР-2001 64	11,11	0	11,11	м2
Огнезащита	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР-2001 64	50	0	50	м2
Огнезащита	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой ТЕР-2001 64	88,89	0	88,89	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 0,8+2,15+0,54+4,71+1,19+1,25+0,18+1,19+2,8+0,84-гр.4 ТЕР-2001 64	15,65	0	15,65	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 5,37+39,39-гр.4 ТЕР-2001 64	44,76	0	44,76	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 0,68+0,94-гр.4 ТЕР-2001 64	1,62	0	1,62	м2
Окраска	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза ТЕР-2001 64	1,62	0	1,62	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР-2001 64	0,36	0	0,36	м2
Окраска	Огрунтовка металлических поверхностей грунтовкой за 1 раз	25,25	0	25,25	м2
Приборы	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза 1,5+1,23+1,27+5,69+1,59+9,59+2,91+2,53+2,22+1,64+1,9+6,95+1,27-гр.4 ТЕР-2001 64	40,29	0	40,29	м2
Приборы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 1,04+1,02-гр.4 ТЕР-2001 64	2,06	0	2,06	м2
Приборы	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза ТЕР-2001 64	2,06	0	2,06	м2
Теплоизоляция	Изоляция плоских и криволинейных поверхностей пластинами (плитами) из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") ТЕР-2001 64	6	0	6	м2
Теплоизоляция	Изоляция плоских и криволинейных поверхностей пластинами (плитами) из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") ТЕР-2001 64	3	0	3	м2
Теплоизоляция	Покрытие поверхности изоляции трубопроводов стеклопластиками РСТ, тканями стеклянными ТЕР-2001 64	90	0	90	м2
Теплоизоляция	Окраска металлических огрунтованных поверхностей краской МА-15 серая ТЕР-2001 64	1,11	0	1,11	м2
Теплоизоляция	Установка пароизоляционного слоя из пленки полиэтиленовой (без стекловолокнистых материалов) ТЕР-2001 64	1,11	0	1,11	м2
Теплоизоляция	Покрытие поверхности изоляции трубопроводов сталью оцинкованной ТЕР-2001 64	1,11	0	1,11	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан за один раз 	31,7	0	31,7	м2
Окраска	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз 	31,7	0	31,7	м2
Окраска	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	31,7	0	31,7	м2
Окраска	Очистка поверхности щетками	156,696	0	156,696	м2
Окраска	Обеспыливание поверхности (входит в норму окраски)	156,696	0	156,696	м2
Окраска	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм ТЕР-2001 64	32,06	0	32,06	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан за один раз 	156,69	0	156,69	м2
Окраска	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз 	156,69	0	156,69	м2
Окраска	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	156,69	0	156,69	м2
Теплоизоляция оборудования	Покрытие изоляции плоских (криволинейных) поверхностей листовым металлом с заготовкой покрытия (0,8мм) 	56,28	0	56,28	м2
Теплоизоляция оборудования	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ ТЕР-2001 64	18,56	0	18,56	м2
Теплоизоляция оборудования	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных ТЕР-2001 64	12,69	0	12,69	м2
Теплоизоляция трубопроводов	Изготовление и установка по поверхности изоляции трубопровода покрытия из оцинкованного листа толщ.0,5 	130,55	0	130,55	м2
Теплоизоляция трубопроводов	Установка на арматуре и фланцевых соединениях полуфутляров из стального оцинк. листа толщ. 0,8мм ТЕР-2001 64	46,05	0	46,05	м2
Теплоизоляция трубопроводов	Окраска опознавательных колец за два раза 	6,27	0	6,27	м2
Дополнительные работы	Подготовка основания под монтаж тротуарной плитки	277,5	0	277,5	м2
Окраска "СПЕЦПРОТЕКТ"	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007	463	0	463	м2
Окраска "СПЕЦПРОТЕКТ"	Очистка поверхности щетками	11,9	0	11,9	м2
Окраска "СПЕЦПРОТЕКТ"	Обеспыливание поверхности (входит в норму окраски)	474,7	0	474,7	м2
Окраска "СПЕЦПРОТЕКТ"	Обезжиривание металлических поверхностей растворителем Р5 	474,7	0	474,7	м2
Окраска "СПЕЦПРОТЕКТ"	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм 	474,7	0	474,7	м2
Окраска "СПЕЦПРОТЕКТ"	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм	474,7	0	474,7	м2
Покрытие площадки	Покрытие площадки из сборных бетонных плит тротуароного типа 6К7 с заполнением швов цементно-песчанной смесью 1:10 ТЕР-2001 64	277,5	0	277,5	м2
Окраска	пескоструйная очистка	46	0	46	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021	19,4	0	19,4	м2
Окраска	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой	8	0	8	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021	27,07	0	27,07	м2
Окраска	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой	11,46	0	11,46	м2
Теплоизоляция трубопроводов	Покрытие поверхности изоляции трубопроводов: сталью оцинкованной 	33,18	0	33,18	м2
Теплоизоляция трубопроводов	Изоляция арматуры и фланцев съемными полуфутлярами из оцинкованного листа толщ.0,8мм ТЕР-2001 64	12,06	0	12,06	м2
Теплоизоляция трубопроводов	Устройство на трубопроводе каркаса из сетки стальной плетеной одинарной с ромбическими ячейками для защиты электрокабеля ТЕР-2001 64	11,12	0	11,12	м2
Теплоизоляция трубопроводов	Окраска опознавательных колец по поверхности изоляции трубопроводов масляной краской за 2 раза 	1,66	0	1,66	м2
Бетонные и ж/б конструкции	Устройство подливки из бетона класса В20 толщиной 20 мм (100мм) 	3,5	0	3,5	м2
Бетонные и ж/б конструкции	На каждые 10 мм изменения толщины добавлять 80мм ТЕР-2001 64	3,5	0	3,5	м2
Бетонные и ж/б конструкции	Гидроизоляция боковая обмазочная битумная в 2 слоя 	22	22	0	м2
Укрытие	Устройство обшивки укрытия из профилированного листа 	21,5	0	21,5	м2
Укрытие	Установка металлических дверей с площадью дверного проема: до 2,5 м2 	1,6	0	1,6	м2
Покрытие	Устройство покрытия из тротуарных плит, марка 6К7 по цементно-песчаной смеси состава 1:10, толщ.50мм 	40,5	0	40,5	м2
Окраска "СПЕЦПРОТЕКТ"	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007	54	0	54	м2
Окраска "СПЕЦПРОТЕКТ"	Очистка поверхности щетками	1,4	0	1,4	м2
Окраска "СПЕЦПРОТЕКТ"	Обезжиривание поверхностей аппаратов и трубопроводов диаметром свыше 500 мм уайт-спиритом (норма ГЭСН)	55	0	55	м2
Окраска "СПЕЦПРОТЕКТ"	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм	55,06	0	55,06	м2
Окраска "СПЕЦПРОТЕКТ"	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм	55,06	0	55,06	м2
Изолировочно-окрасочные работы	Огрунтовка металлических поверхностей за один раз грунтовкой ФЛ-03К	10	0	10	м2
Изолировочно-окрасочные работы	Окраска металлических огрунтованных поверхностей эмалью ХВ-124	10	0	10	м2
Окраска арматуры, подлежащей теплоизоляции на высоте ниже 5м	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан за один раз	2,5	0	2,5	м2
Окраска арматуры, подлежащей теплоизоляции на высоте ниже 5м	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз	2,5	0	2,5	м2
Окраска арматуры, подлежащей теплоизоляции на высоте ниже 5м	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	2,5	0	2,5	м2
Окраска арматуры на высоте ниже 5м	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан за один раз	0,9	0	0,9	м2
Окраска арматуры на высоте ниже 5м	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз	0,9	0	0,9	м2
Окраска арматуры на высоте ниже 5м	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	0,9	0	0,9	м2
Окраска трубопроводов, подлежащих теплоизоляции на высоте ниже 5м	Очистка поверхности щетками	1,12	0	1,12	м2
Окраска трубопроводов, подлежащих теплоизоляции на высоте ниже 5м	Обеспыливание поверхности (входит в норму окраски)	1,12	0	1,12	м2
Окраска трубопроводов, подлежащих теплоизоляции на высоте ниже 5м	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом	1,12	0	1,12	м2
Окраска трубопроводов, подлежащих теплоизоляции на высоте ниже 5м	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан за один раз	1,12	0	1,12	м2
Окраска трубопроводов, подлежащих теплоизоляции на высоте ниже 5м	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз	1,12	0	1,12	м2
Окраска трубопроводов, подлежащих теплоизоляции на высоте ниже 5м	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	1,12	0	1,12	м2
Окраска трубопроводов на высоте ниже 5м	Очистка поверхности щетками	3,69	0	3,69	м2
Окраска трубопроводов на высоте ниже 5м	Обеспыливание поверхности (входит в норму окраски)	3,69	0	3,69	м2
Окраска трубопроводов на высоте ниже 5м	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом	3,69	0	3,69	м2
Окраска трубопроводов на высоте ниже 5м	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан за один раз	3,69	0	3,69	м2
Окраска трубопроводов на высоте ниже 5м	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз	3,69	0	3,69	м2
Окраска трубопроводов на высоте ниже 5м	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	3,69	0	3,69	м2
Теплоизоляция оборудования	Покрытие изоляции плоских (криволинейных) поверхностей листовым металлом с заготовкой покрытия (0,5мм) 	1,22	0	1,22	м2
Теплоизоляция оборудования	Покрытие изоляции плоских (криволинейных) поверхностей листовым металлом с заготовкой покрытия (0,8мм) 	2,59	0	2,59	м2
Теплоизоляция оборудования	Обертка поверхности изоляции рубероидом на битуме два раза 	88,48	0	88,48	м2
Теплоизоляция оборудования	Обертка поверхности изоляции рубероидом на битуме 	90,68	0	90,68	м2
Теплоизоляция оборудования	Оштукатуривание поверхности изоляции аппаратов асбоцементным раствором 	90,68	0	90,68	м2
Теплоизоляция. Трубопроводы	Установка на арматуре и фланцевых соединениях полуфутляров из стального оцинк. листа (толщ. 0,5мм) 	2,65	0	2,65	м2
Иозляция	Покрытие поверхности изоляции трубопроводов сталью оцинкованной ТЕР-2001 64	8,28	0	8,28	м2
Иозляция	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ ТЕР-2001 64	200	0	200	м2
Окраска Армокотом	Огрунтовка поверхностей за 1 раз грунтовкой "Армокот 01	2,05	0	2,05	м2
Железобетонное каре Фкм1	Гидроизоляция боковой поверхности составом Пенетрон ТЕР-2001 64	86	0	86	м2
Железобетонное каре Фкм1	Устройство изоляции слоем битумного праймера ТЕР-2001 64	28	0	28	м2
Железобетонное каре Фкм1	Устройство боковой обмазочной изоляции стен горячим битумом  за 2 раза ТЕР-2001 64	28	0	28	м2
Окраска металлоконструкций	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007 ТЕР-2001 64	40	0	40	м2
Окраска металлоконструкций	Очистка поверхности щетками ТЕР-2001 64	1	0	1	м2
Окраска металлоконструкций	Обеспыливание поверхности ТЕР-2001 64	41,03	0	41,03	м2
Окраска металлоконструкций	Обезжиривание металлических поверхностей растворителем Р5 ТЕР-2001 64	41,03	0	41,03	м2
Окраска металлоконструкций	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм ТЕР-2001 64	41,03	0	41,03	м2
Окраска металлоконструкций	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм ТЕР-2001 64	41,03	0	41,03	м2
Покрытие площадки	Покрытие площадки из сборных бетонных плит тротуароного типа 6К7 с заполнением швов цементно-песчанной смесью 1:10 ТЕР-2001 64	50	0	50	м2
Окраска	Нанесение химической смывки СП-6 за 1 раз 	9,51	0	9,51	м2
Окраска	Очистка гидропескоструйным аппаратом, водой за 2 раза 	9,51	0	9,51	м2
Окраска	Искусственная сушка	9,51	0	9,51	м2
Окраска	Обезжиривание поверхностей аппаратов и трубопроводов диаметром свыше 500 мм уайт-спиритом(нанесение преобразователя ржавчины Анкор-1) 	9,51	0	9,51	м2
Окраска	Обезжиривание металлических поверхностей растворителем Р5	9,51	0	9,51	м2
Окраска	Обеспыливание поверхности (входит в норму окраски)	9,51	0	9,51	м2
Окраска	Огрунтовка металлических поверхностей грунтовкой Цинотан по ТУ2312-017-12288779-99 за один раз (толщина слоя 80 мкм)	9,51	0	9,51	м2
Окраска	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз 	9,51	0	9,51	м2
Окраска	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	9,51	0	9,51	м2
Трубопроводы	Установка на арматуре и фланцевых соединениях полуфутляров из стального оцинк. листа (толщ. 0,5мм) ТЕР-2001 64	37,25	0	37,25	м2
Трубопроводы	Установка на арматуре и фланцевых соединениях полуфутляров из стального оцинк. листа толщ. 0,8мм ТЕР-2001 64	13,54	0	13,54	м2
Трубопроводы	Окраска опознавательных колец за два раза	1,84	0	1,84	м2
Трубопроводы	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ 	13,53	0	13,53	м2
Трубопроводы	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных 	9,25	0	9,25	м2
Окраска. Теплоснабжение	Очистка кварцевым песком сплошных наружных поверхностей ТЕР-2001 64	2,02	0	2,02	м2
Окраска. Теплоснабжение	Обеспыливание поверхности ТЕР-2001 64	2,02	0	2,02	м2
Окраска. Теплоснабжение	Обезжиривание поверхности ТЕР-2001 64	2,02	0	2,02	м2
Окраска. Теплоснабжение	Огрунтовка поверхностей за 1 раз грунтовкой "Армокот 01"(ручной способ нанесения) ТЕР-2001 64	2,02	0	2,02	м2
Окраска. Водопровод производственно-противопожарный В2	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 ТЕР-2001 64	5,8	0	5,8	м2
Окраска. Водопровод производственно-противопожарный В2	Масляная окраска металлических поверхностей решеток, переплетов, труб диаметром менее 50 мм и т.п., количество окрасок 2 ТЕР-2001 64	5,8	0	5,8	м2
Трубопроводы. Теплоизоляционные работы	Покрытие поверхности изоляции трубопроводов: сталью оцинкованной 	0,85	0	0,85	м2
Трубопроводы. Теплоизоляционные работы	Окраска опознавательных колец по поверхности изоляции трубопроводов масляной краской за 2 раза 	0,04	0	0,04	м2
Устройство лесов	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных ТЕР-2001 64	0,21	0	0,21	м2
Устройство лесов	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ ТЕР-2001 64	0,14	0	0,14	м2
ОКРАСКА. ГТ	Очистка поверхности щетками	2	0	2	м2
